,Rooms,Status,Area,Price
929,2,Ready to move,450,1800000
930,3,Ready to move,900,4500000
931,3,Ready to move,675,3200000
932,3,Ready to move,1750,19000000
933,2,Ready to move,600,4200000
934,2,Ready to move,700,3200000
935,3,Ready to move,1350,6500000
936,3,Ready to move,1000,4800000
937,3,Ready to move,1100,4500000
938,3,Ready to move,750,3600000
939,4,Ready to move,1500,7000000
940,2,Ready to move,650,2700000
941,2,Ready to move,850,3800000
942,3,Ready to move,900,4200000
943,3,Ready to move,750,3500000
944,3,Ready to move,1000,5000000
945,3,Ready to move,1100,6000000
946,2,Ready to move,500,1800000
947,3,Ready to move,1200,6000000
948,4,Ready to move,1750,8500000
949,2,Ready to move,800,3500000
950,3,Ready to move,1250,6000000
951,3,Ready to move,1125,7000000
952,3,Ready to move,945,4800000
953,2,Ready to move,850,3800000
954,2,Ready to move,650,3500000
955,4,Ready to move,1800,7500000
956,2,Ready to move,640,2400000
957,3,Ready to move,1000,4500000
958,4,Ready to move,1500,7500000
959,2,Ready to move,550,2400000
960,3,Ready to move,720,3500000
961,2,Ready to move,600,2300000
962,3,Ready to move,1600,8000000
963,3,Ready to move,900,4700000
964,2,Ready to move,750,3500000
965,3,Ready to move,850,4400000
966,3,Ready to move,750,3500000
967,4,Ready to move,1400,7500000
968,3,Ready to move,900,4500000
969,4,Ready to move,1400,8500000
970,3,Ready to move,1200,6500000
971,3,Ready to move,1350,11000000
972,3,Ready to move,1800,20700000
973,3,Ready to move,1750,18400000
974,4,Ready to move,1710,34500000
975,4,Ready to move,2100,26500000
976,3,Ready to move,2100,24900000
977,3,Ready to move,2200,32100000
978,3,Ready to move,2150,35000000
979,4,Ready to move,2400,29000000
980,3,Ready to move,1750,19000000
981,3,Ready to move,1750,17400000
982,3,Ready to move,1700,16399999
983,3,Ready to move,1700,15800000
984,3,Ready to move,1700,15200000
985,3,Ready to move,1800,20900000
986,3,Ready to move,1700,17500000
987,3,Ready to move,1700,17900000
988,3,Ready to move,1700,17000000
989,3,Ready to move,1800,21000000
990,3,Ready to move,1700,16000000
991,5,Ready to move,9000,202500000
992,4,Ready to move,2250,30500000
993,4,Ready to move,2250,30000000
994,4,Ready to move,2250,36000000
995,4,Ready to move,7000,108000000
996,4,Ready to move,2800,89000000
997,4,Ready to move,5400,135100000
998,4,Ready to move,2700,70000000
999,4,Ready to move,2250,31500000
